"","x"
"299","Call "
"300","In brief:   Wrong place to ask   This is the HT public site where volunteer docs primarily in the USA answer health questions.   We do not do referrals/provide notes or prescriptions or any other form of direct service. You need to contact a local provider in your country/location for such needs.  Would you like to video or text chat with me?         "
"301","In brief:   No. It is not... yet   That new is based in a paper (https://journals.  plos.org/plospathogens/article?id=10.1371/journal.ppat.1006140) which says that inhibition of leukotrienes (which Singulair-Montelukast inhibits) in mice, not humans, had a protection effect against death caused by Influenza A virus pneumonia. Further research is needed to ensure that this works for influenza, and even more for ?SARS-CoV-2.  Would you like to video or text chat with me?         "
"302","Symptoms. First, symptomatic treatment at home, plenty fluids and rest. Also apply all the preventive measures of social distancing. But if you are aware of any possible contact with an infected person, it is difficult to breath, fever does not low with bath or paracetamol, you are diabetic or with another chronic disease like hypertension, clinical attention should be asked for as soon as possible."
"303","In brief:   Distance   Staying separated by 6 feet can make a difference!  The following guideline should help!https://www.  healthtap.com/blog/covid-19-care-guidelines/preventing-covid-19  Would you like to video or text chat with me?         "
"304","In brief:   Isolate sick people   Throat pain can be from a strep throat (antibiotics needed), a cold or influenza, or from some other cause such as allergies or irritants.   Usually, a person sees the doctor (call first) if the sore throat is bothersome, recurrent, or doesn't go away quickly. The flu or COVID-19 usually have cough, fever, body aches; whereas strep is mainly sore throat. Can call doctor by video or phone. (3/25/20)  Would you like to video or text chat with me?         "
"305","In brief:   Doctor can examine   Throat symptoms can be from a strep throat infection (antibiotics are needed), a cold or influenza, or from some other cause such as allergies, irritants, or acid reflux.   Usually, one sees the doctor if the sore throat is bothersome, recurrent, or doesn't go quickly (mainly to check for strep throat). During this COVID-19 pandemic, doctors want patients to call by video or phone first. (3/25/20)  Would you like to video or text chat with me?         "
"306","In brief:   Same as usual   During this COVID-19 pandemic, the other infections like colds, flus, and sinus infections can still happen.   The over-the-counter treatments have not changed. COVID-19 virus is so new that there has not been much verified research yet, so stick with what meds worked in the past. See the blog post...  https://www.healthtap.com/blog/post/selfcare-guide-and-local-coronavirus-resources  (3/25/20)  Would you like to video or text chat with me?         "
"307","Symptoms. Symptoms lasting for a week that are getting better sounds like process is resolving. Covid testing would not be indicated. You should follow the following guidelines:  https://www.healthtap.com/blog/covid-19-care-guidelines/preventing-covid-19."
"308","In brief:   If you are dying   Everything is in motion and medical decisions are fluid, so you won't know until it happens.   That's because a healthy person under 50 won't die (has maybe half a percent chance of dying) from COVID-19, but a guy aged 70-80 has a 7-8% chance of dying from this... about the same as a non-elderly diabetic. That means the old guy and the diabetic both have about a 92-93% chance of NOT dying. (3/25/20)  Would you like to video or text chat with me?         "
"309","In brief:   Any contagiousness   A person with any signs of respiratory infection or gastrointestinal infection should be isolated to prevent spread of his infection.   Allergies can cause symptoms similar to infection symptoms, which means a person with allergy symptoms at this pandemic time should also be isolated. Note that if every person is isolated for 3-4 weeks, the pandemic stops because virus transmission stops.  (3/25/20)  Would you like to video or text chat with me?         "
"310","In brief:   Maybe   Such a mask helps protect others from any respiratory material you exhale or cough but does not filter out the virus.   Only high end medical & industrial masks (P95/N95)would filter that. Your best protection is frequent hand washing and not touching your face/mouth/nose with contaminated fingers.,  Would you like to video or text chat with me?         "
"311","In brief:   Symptoms   Sore throat less associated with Covid.     Possibilities include strep, flu, covid or other virus.   The following guide should help:https://www.healthtap.com/blog/covid-19-care-guidelines/preventing-covid-19  Would you like to video or text chat with me?         "
"312","Diabetes and COVID. In all cases, the better the blood sugar is controlled, the better the immune system can function. Eating healthy, exercising as tolerated, and control blood sugars are close to normal as your doctor advises, is the best plan. ."
"313","In brief:   Maybe/not   They estimate as many as 80% of those testing positive in the under 40 age group have minor or no symptoms.   Having a non respiratory chronic illness does not increase your risk substantially.  Would you like to video or text chat with me?         "
"314","Get tested. If you can not find a place to get tested self-quarantine yourself for 2 weeks. You can use over the counter drugs for symptomatic treatment in the mean time. If sore throat get worse this could be strep throat need a culture to be taken from your throat by your doctor followed by antibiotic. If shortness of breath gets worse call the hospital for the inpatient treatment could be for Covid-19."
"315","Flu. I think you a probably right. Body aches not as common with Covid.  If no significant SOB follow the following:  https://www.healthtap.com/blog/covid-19-care-guidelines/self-quarantine-guide  Talk to your provider Flu test may help, but management typically best conservative. Certainly if worseing SOB be seen. Remeber at 29 risk for severe infection is low either way. ."
"316","Covid 19 testing . Hi at the moment it is only recommended that you test for COVID 19 if you have a close contact that has tested positive for the virus or have had recent international travel in the last 14 days. If your symptoms are worsening or your asthma is uncontrolled  you should call your GP rooms or attend your nearest emergency room."
"317","In brief:   Check online   There are many resources online about the symptoms of COVID-19.   The most important questions relate to travel history and the symptoms you are experiencing. If you suspect that you may have COVID-19, self-isolate as soon as possible and call your local doctor or testing site. You can also check out https://www.gov.za/coronavirus/faq or call 0800 029 999   Would you like to video or text chat with me?         "
"318","Well done. YOu are a star level headed, keep going at home and support everyone over your well sterilised phone. ;)"
"319","In brief:   Stay home   Hi. If you are concerned about COVID-19, please call the hotline on 0800 029 999, see the FAQs on https://www.  gov.za/coronavirus/faq or https://www.who.int/news-room/q-a-detail/q-a-coronaviruses  Would you like to video or text chat with me?         "
"320","Virtual consult. Best to do a virtual consult, you can through this platform. TEsting is the only way to know. Self isolation is very important right now unless you need urgent medical care. ."
"321","Yes. Could well be and that is very normal. SEe how you go, you do have some worrying symptoms. Try to do a telephonic consult and if you have access get tested. In the interim self isolate and listen to Cyril's advice. Be calm, we are here."
"322","In brief:   Odd comment   Since all countries have reported cases of Covid-19 the question is a bit inconsistent with current fact.   Any and all people should self quarantine if they had a known exposure in any setting. I would not consider anyone traveling from all areas either exposed or a risk to others. The hysteria of this idea is worse than the disease.  Would you like to video or text chat with me?         "
"323","In brief:   Can give Dr. a call   Throat pain can be from a strep throat infection (antibiotics needed), a cold or influenza (antibiotics usually not used), or from some other cause such as allergies or irritants.   Usually, a person sees the doctor (call first) if the sore throat is bothersome, recurrent, or doesn't go away quickly. COVID-19 infections tend to have cough, whereas strep usually lacks cough but has more throat pain.  Would you like to video or text chat with me?         "
"324","They don't . Unless you are using high end medical or industrial masks they do not protect you from any such virus. They prevent your cough or expired air from infecting others. Any scarf/fabric homemade mask or similar device will do the same. You protect yourself more by washing your hands often & not touching your face/mouth/nose with contaminated fingers."
"325","In brief:   Periauricular pain    May be otitis ear infection or mastoiditis infection in the bone behind the ear.  Could call health tap prime  for  video assessment  and antibiotic prescription.   Sometimes you  may need IM or IV antibiotics.  Call Healthtap Prime or MD today ( even with corona ongoing you need treatment for this today).   Would you like to video or text chat with me?         "
"326","In brief:   Nasal rinses   For allergic symptoms, nasal saline and an oral antihistamine are often helpful for controlling symptoms.    Continue to monitor your temperature and report fever and/or shortness of breath to your PCP.  Would you like to video or text chat with me?         "
"327","It will.... But it will take some time to break the chain of infection, to find a cure, and to find a vaccine. It is stressful for everyone. One way to look at it is that we are all in this together, irregardless of political party, race, or religion. As a people, we can overcome a simple virus and be stronger as a whole. You are not alone, millions of others share your concerns. Hang in there...."
"328","Telephonic consult. get tested but you need to consult first, telephonically and get access to a test if you can, stay at home treat with panado only and a lot of fluids, rest :)"
"329","In brief:   Covid 19   The incubation period of covid 19 is 2-14 days and you're past that.   However if fever, chills, heavier cough, or breathing difficulties develop, call your MD for instructions. For now, drink adequate fluids, gargle with warm salt water. I recommend also using zinc lozenges and take acetaminophen. Don't infect others regardless of what type of infection you have.  Would you like to video or text chat with me?         "
"330","Virus. You have a viral respiratory tract infection and the absence of fever is reassuring at this time. Should fever or shortness of breath develop and if you're in an area where covid 19 is present, you should then call your MD for instructions. For now, drink adequate fluids, gargle with warm salt water. I also recommend using zinc lozenges and take acetaminophen. ."
"331","In brief:   Common flu   Hello.During the coronavirus outbreak the best thing you can do for yourself, your family and your comunity is to stay home.  Don't go to school or work, stay at home and isolate yourself specially from the elders.Do whatever you do when you have the common cold.Drink a lot of fluids, take Tylenol for the sore throat and please DON'T go to the doctor unless you're feeling shortness of breath  Would you like to video or text chat with me?         "
"332","In brief:   Basics   Fever is a normal body response when ill that increases circulation & oxygen supply to the tissues so natural healing comes faster.I would never treat minor fevers around 38 nor would I alternate  fever meds.  One or the other would be all I use when needed.  New data supports avoiding all ibuprofen products when corona virus may be present.  Would you like to video or text chat with me?         "
"333","No. The coronavirus apparently only needs to be in contact with the mucosa of the lips, mouth, nose and eyes to infect someone.Please stay home and follow the recommendations of the local authorities."
"334","Uncertain data. Hello.The data available about the coronavirus and ibuprofen are inconclusive.Nevertheless you should visit a pain specialist doctor for the manage of your pain. It's been established that Ibuprofen and other NSAID'S taken in large doses or long periods cause kidney damage."
"335","Slim kans van Virus. As jou sluim is a gevolge van allergy die sluim is gewoonlike a bleek geel saam met ander symptome soos niesery em jikkerige neus.En daar is a noodlike kans da jy die volle allergiese gene het en dan sal jy ook lui van Asthma, Hoieoos and moontlik exzeem as a kind.Om did die ""Virus"" to wees waarvan jy moet bekomerd wees so jy ook 1. Hoor koors , 2. Droer hoes  3. Seer keel and 4. Erg hoofpyn he'"
"336","It is unlikely. Mefical personnel are trained to avoid these situations.Nevertheless recommend her to take off her clothes when she gets home and go directly to take a shower. Also is recommended to disinfect all the areas she touches before washing her hands, like door knobs and surfaces."
"337","In brief:   Stay home   Do whatever you do with a regular flu.  Drink a lot of fluids, use acetaminophen/paracetamol (tylenol) for the fever and sore throat, eat/drink citrus and please stay home and away from the elders. Follow the recommendation of your local authorities.Only go to medical services if you feel shortness of breath and use masks if you feel sick and need to go out of your house  Would you like to video or text chat with me?         "
"338","7 days. Stay at home for 7 days without symptoms. Monitor your temperature, rest, drink fluids   If symptoms develop, please notify your physician and test. ."
"339","Not advised to test . The test currently used is a genetic test which test for the virus genetics. Therefor if you are tested while asymptomatic, it will not test positive, even though you might actually be infected.Rather stay under self quarantine and test if you show some signs."
"340","Symptoms. So you are worried that you might have Covid-19. You may also have common cold or influenza. Call hour General Physician. Report your symptoms. They will direct you to proper care."
"341","Depend. Hello.High risk population for covid-19 are people more than 60 years old or with pre-existing condition like heart or lung disease.If you feel you have the flue stay home for your own good and the whole community. Unless you feel shortness of breath or don't go to medical services."
"342","Covid. Top symptoms for COVID include fever, dry cough and SOB.  Actually sore throat not so common. Follow this guideline:https://www.healthtap.com/blog/covid-19-care-guidelines/preventing-covid-19."
"343","Risk. High risk would be smoker, 60 or older and with medical conditions- heart, lung, kidney.  If you are not having significant SOB self isolation best to do and treat for flu symtpoms-rest, fluids, tylenol or ibuprofen if needed. https://www.healthtap.com/blog/covid-19-care-guidelines/self-quarantine-guide.  Tests are being reserved for those with significant symptoms. ."
"344","In brief:   Call your doctor   Call your doctor's office for instructions  Would you like to video or text chat with me?        "
"345","Might be more severe. People with diabetes can have more fragile immune systems with difficulty fighting infections, so if you contract coronavirus you might be at greater risk for breathing complications.  Any serious illness can affect blood sugar control in diabetics also. I recommend taking extra precautions to minimize contact with people so as to avoid contacting the virus.  ."
"346","Food. This link will help! https://www.fsai.ie/faq/coronavirus.htmlIn general food is not a problem.  Unless you are dining on bats in Wuhan! Here is a good article on that.https://www.nytimes.com/2020/02/10/science/pangolin-coronavirus.html."
"347","In brief:   Limited risk   From my reading the corona virus is limited in the animals it infests to varieties of bats and snakes.   I would not put your dog or cat on such a list.  Would you like to video or text chat with me?         "
"348","In pandemic times... The COVID-19 infection is worldwide, in all but some isolated areas. The goal is to keep people separate so that the clinics and hospitals are not overwhelmed. Patient:s with medical symptoms should see their primary care doctor on VIDEO or by PHONE, and get instructed to go to a clinic or ER only if not treatable by video or phone. Symptoms of COVID-19 are often the same as a cold or the flu."
"349","CoVid. https://www.healthtap.com/blog/covid-19-care-guidelines/resources-for-managing-covid-19https://www.healthtap.com/blog/covid-19-care-guidelines/self-quarantine-guide."
"350","Self-quarantine. Try self-quarantine for 14 days; call your health care provider if you start having symptoms to get instructions regarding testing, self-quarantine and possible hospitalization then follow through!"
"351","In brief:   ? telephonic consult   If you are able, consult telephonically with your GP.   If not, do not go into public places, rather get symptomatic treatment - let someone who is well do this as swiftly as they can. Otherwise continue consulting on this forum. We can help you. If you have access to a test this is the ONLY way to know if you truely have it.   Would you like to video or text chat with me?         "
"352","In brief:   Hard to say   Very hard to say.   Stay home. Stay safe. Get someone to buy you symptomatic medication and feel free to post on here again.  Would you like to video or text chat with me?         "
"353","In brief:   No   If you know you have seasonal allergy treat that.   Get as much medicine as you might need for a month regarding this. If you do not fit criteria (google) then no testing for now. Stay home and stay safe.  Would you like to video or text chat with me?         "
"354","In brief:   Corona virus   If you are symptomatic and not SOB you  should not need tested.   Testing in itself does not change the course and at this time and it does not lead to a specific beneficial action. If fever and SOB the testing guides inpatient therapy. Follow the following guidelines:https://www.healthtap.com/blog/covid-19-care-guidelines/preventing-covid-19; https://www.healthtap.com/blog/covid-19-care-guidelines  Would you like to video or text chat with me?         "
"355","Try our other forum. You have posted on our free, public, informational forum, where doctors do not see patient charts nor give medical care. Try a private consultation where doctors can see you on video. Also, in the US certain medications (but not all) can be prescribed or temporarily refilled, depending on individual circumstances. Start over on your screen, click on Care, then Talk-to-Doctor. (Mar. 2020)"
"356","In brief:   Testing   If asymptomatic testing unlikely to be done.    The following guide should help: https://www.healthtap.com/blog/covid-19-care-guidelines/preventing-covid-19-for-seniors  Would you like to video or text chat with me?         "
"357","In brief:   Hard to say   New Zealand is definitely lower risk than Europe.   Your best bet is to stay home, with masks on (home made) follow hygiene. If you need more help ask another question here. If you have access to testing you could do it but I think we need the tests for folk who are more ill at this stage. Hope this makes sense.  Would you like to video or text chat with me?         "
"358","Need more info. Have you travelled or come into contact with a corona virus patient ?"
"359","Avoid contact. Stay at home for at least 7 days from the onset or symptoms, or for at least three days following fever whichever is longer in duration. Cover your cough, monitor your temperature. Watch for signs of worsening including fever, shortness of breath or worsening cough."
"360","In brief:   Hard to answer   If not ill assume you have it and behave as if you do, wear a bandanna over nose and mouth and if you have access to testing then do it.   If not stay home and boost immunity.  Would you like to video or text chat with me?         "
"361","In brief:   No.   Most doctors are rescheduling non-essential surgeries, procedures and visits.   You don't want to be in a doctor's office with a bunch of people who may or may not be infected with the Coronavirus.  Would you like to video or text chat with me?         "
"362","Sounds like viral. Sounds viral but not corona however healthcare workers are high risk by being exposed to ill populations. I would stay home so that you do not cross infect. If you have access to a test then get that self isolate and monitor your symptoms. Post on here if confused. ."
"363","In brief:   Cough/fever?   Please stay at home and avoid contact with others for one more day at least.   If there is a fever, remain at home for at least three days after the fever is gone. At this point, if you are otherwise healthy, cover your cough, monitor your temperature and please stay home.Watch for signs of secondary infection, including fever, worsening cough and shortness of breath.   Would you like to video or text chat with me?         "
"364","No. It is currently not possible but hopefully house to house testing coming according to Cyril Ramaphosa last night. You can get tested at some clinics, safest right now is to stay at home unless you are imminently unwell. If safe and in as much isolation as possible you can be tested at lancet and ampath, due to capacity stretching they are now only testing people who fit the criteria. ."
"365","Yes. Yes you should come but it will not be a consultation depending the treatment you taking. If it is for HIV  you will need to go to the lab for for  bloods and if it is for hormone replacement there is no need for consultation but either way you have to call the practice reception to check f DR is available."
"366","Medications. I am unaware of any contraindications to either ibuprofen or paracetamol. You can take either. When I get sick I like to take both. One can be taken every 4 hours and the other every 6 hours. ."
"367","In brief:   Concern   Diabetes if controlled well typically should not be an issue.   I realize there are some conflicting information, but I think the evidence shows that if diabetes controled your immune system still reacts appropriately and not an issue. Arrythmia in itself not and issue. Your age is 60 and that starts to be category of concern with 3% mortality rate.  If you do not smoke that is the key.   Would you like to video or text chat with me?         "
"368","No. Don't go to work you could unknowinly spread the virus. We are all effectively on lock down and the sooner the better if you THINK you have it stay home, if you ave access to testing then get tested BUT we are running out of tests (to my knowledge) if you deteriorate send a message here and I will advise. DO not go to work."
"369","In brief:   Ingrown toenail   An ingrown toenail can make your foot numb.    I do ER and it is a procedure I will do.  However, many primary providers will do the procedure and podiatrists are a good choice. I do not recommend digging into it at home. However, to prevent future toenail problems do not wear pointed shoes, and let toenails grow to tip of toe and keep at that length.   Would you like to video or text chat with me?         "
"370","In brief:   Keep isolated   The baby very likely has the infection.    However, the data are very reassuring on children less than 10 year old.  I am certain there has been no deaths recorded. Treat as you would if the baby had a cold.  Follow the following isolation guidelines:  https://www.healthtap.com/blog/covid-19-care-guidelines/self-quarantine-guide  I think you will find this improving in a few days.   Would you like to video or text chat with me?         "
"371","In brief:   Dont think c   This is a different problem. Dont think it is covid.   Which is good news. What are your other symptoms?  Would you like to video or text chat with me?         "
"372","Hard to say. It does look like it is true. We are in an unprecedented time right now. What we know we are trying to convey. Switch to panado or napacod for now if possible."
"373","In brief:   Nearly normal   Assuming you are not on any immunosuppresive therapy your risk is normal.   but make sure you do social distancing  Would you like to video or text chat with me?         "
"374","Keep non smoking. If you have no exposure history to COVID 19, your cough is probably not infection. keep up the good work and do not smoke or vape."
"375","In brief:   Probably not COVID19   early COVID 19 may not have a fever, but usually does by on average 5 days after exposure.  what is your exposure to COVID? that is more important to determine the possibility of developing COVID 19  Would you like to video or text chat with me?         "
"376","In brief:   Yes    like most lung infections there will be changes in the lung structure, probably microscopically and may not be seen on X-rays,  Would you like to video or text chat with me?         "
"377","COVID 19 is airborne. COVID 19 is primarily an airborne acquired infection. the number of potentially infected viruses dissipate by 6 feet."
"378","In brief:   If it's just from...   If cough and headache are just from a mild cold, then the over-the-counter cold medicines are what people usually try.   However, some illnesses such as strep throat, the flu, or pandemic coronavirus also have these same symptoms, but need evaluation. It is best to contact one's primary care doctor by video or phone first during this pandemic. For emergencies, call the local emergency #).  (3/24/20)  Would you like to video or text chat with me?         "
"379","In brief:   Usually does not   Throat symptoms can be from strep throat infection (antibiotics are needed), a cold or other virus (antibiotics usually not used), allergies, irritants, sinusitis, stomach reflux when asleep, etc.  .. One usually sees the doctor if the throat issue is bothersome, recurrent, or doesn't go away quickly. A strep throat swab test can easily diagnose strep throat.  Would you like to video or text chat with me?         "
"380","Rash. How long has it been going on?  May be food allergies, most common are dairy products so you could try a week with  no dairy and see if there is a change, others allergens include eggs , wheat.   Could try Zyrtec children's 2 ml once a day and see if it helps itching. Rarely I have seen strep manifest with rash for which  you need a culture.  Speak to a pediatrician on HealthTap prime  or call MD."
"381","In brief:   COVID-19 and RAAS    No, according to recent statement from American Heart Association, the patients with cardiovascular disease should continue ACEI or ABR as prescribed.   WHO also doesn't recommend avoiding ibuprofen for patients with COVID-19 Symptoms, although the use of acetaminophen could be an alternative option.   Would you like to video or text chat with me?         "
"382","In brief:   Barrier protection   Most of these masks won't completely protect you from a virus, which can penetrate these materials however that does not mean they are not useful.   A mask of any sort is good if you are coughing or sneezing to limit some of the aerosols and also is better than nothing if you are out and about in a high risk situation. The chance of you catching the virus is highly dependent on lengthexposure & dos  Would you like to video or text chat with me?         "
"383","In brief:   There are   many online resources to help you distinguish between the two.   But, yes it is a good idea to stay home until told otherwise.  Would you like to video or text chat with me?         "
"384","Self isolate. avoid contact, wash hands, plenty of rest and fluids, if high fever or trouble t=breathing call doctor they can advise you about testing."
"385","It could be. self isolate, wash your hands, plenty of fluids and rest, if you get  a high fever or have trouble breathing call your doctor."
"386","Unlikely covid. Unlikely to be corona listening to your symptoms. Stay home and wear masks (anything that covers nose and mouth) proven to decrease transmission by 50%. If you are unwell in terms of respiratory rate (google) >25 or become medically unstable you need to find a corona hospital emergency room. Outside of these conditions stay home and stay safe. The more we all travel in the next 3 days is bad."
"387","In brief:   Yes   call your doctor for advise.  Would you like to video or text chat with me?        "
"388","In brief:   It is possible.    You can self quarantin yourself for 2 weeks.   If develop and symptoms especially fever and cough get tested. Since you consider yourself a hypocondriac i suggest to wear an N-95 or surgical mask to prevent similar situations.  Would you like to video or text chat with me?         "
"389","In brief:   Covid-19   This may be influenza or Covid 19 and warrants a call to your physician to get instructions of whether to be examined,cultured and/or tested for Covid 19 virus, ordered to have a chest xray and/or started, on antibiotics.   A lot depends on whether you're in an endemic area or have been exposed to someone who has the infection or had travelled from an affected region. Gargle,avoid dehydration.  Would you like to video or text chat with me?         "
"390","RHD. If your rheumatic heart disease hasn't caused weakness of the heart muscle or cardiac arrhythmia it shouldn't predispose you to more complications than anyone else in good health. Keep your resistance and immune system high by avoiding fatigue, dehydration, excessive stress, poor nutrition and exposure to ill people. Practice social distancing. At sign of sore throat gargle with warm salt water ."
"391","Possibly. if you had your symptoms for a week and they haven't gotten worse or developed into a fever, you probably do not have COVID-19.IF you are still worried see your PCP."
"392","Per RSA NICD: Seek care right away if difficulty breathing, other severe symptoms.Seek testing if sick, PLUS known Covid-19 contact, or travel to high risk country, or been in facility treating people with Covid-19, or severe pneumonia of unknown cause.Call 0800 029 999 for test.If sick or possibly exposed (not both), stay home.Seek consultation if sick.If known exposure & not sick, self-isolate 14 days."
"393","In brief:   Test   Your shortness of breath is concerning.   You may have an underlying condition and should also be screened for Coronavirus. Stay home, rest and drink fluids until you are seen by your physician. A chest image may be performed at the visit.  Would you like to video or text chat with me?         "
"394","In brief:   Any soap   any soap should be effective against most viruses.   antibacterial soap may advertise against bacterial but has no claim to be better against viruses.  Would you like to video or text chat with me?         "
"395","Might need treatment. Could be infection or other condition requiring urgent treatment.  Seek evaluation, but preferably on phone or online, to avoid coronavirus exposure.  Video consultations are available on HealthTap; click on ""Talk-to-Doctor."" ."
"396","It depends... Due to limited availability of covid testing, you probably wouldn’t meet criteria for testing, unless you develop fever or cough, and you have chronic health problems or have been possibly exposed to covid.Seek care right away if difficulty breathing or severe symptoms.Seek online or phone consultation otherwise, to avoid exposure.Ultimately, patients who need treatment will have lung symptoms."
"397","Yes. COVID-19 is an airborne transmitted virus. It can hang around in the air and masks provide minimal but some protection. Social distancing from an area or person with the disease is better to limit exposure.  Gloves may help prevent pick up virus from surfaces."
"398","In brief:   Not sure, but...   I'm writing from the U.  S., and I'm not sure of the availability of vaccination for influenza in your area.  However, with the coronavirus pandemic, getting your flu shot is a good idea, if possible.  It's always a good idea, but, also, though it won't protect you from coronavirus, you could get both. And, if you get the flu, not knowing if it's flu or coronavirus presents complications.  Would you like to video or text chat with me?         "
"399","No. I do not think it will have any effect on corona virus."
"400","Keycare flu vaccine. HiPlease contact your medical aid to see if meet the qualifying criteria to be covered by a flu vaccine on your plan. Usually Keycare only covers in patients that are high risk, like asthmatics, diabetes, emphysema, cardiac patients etc.The current flu vaccine does not protect you against COVID19 and will not influence you ability to respond to this infection."
"401","In brief:   Appears as though   this was asked before? She should disrobe immediately upon entering the home, place clothes in laundry and then shower. You need to keep A1c as low as possible, do everything you can to support gut health and immunity and increase supplements that increase resistance to viruses.   Sleep apart... your call!  Would you like to video or text chat with me?         "
"402","Hopefully not. Your wife should know the protocol of handle COVID-19 as well as other viruses. Her institution should be providing PPE (personal protective equipment) for her to use properly."
"403","In brief:   Probable   I know there is a study that shows concern for diabetics, however, this is one study and there are others that show no particular issue.   The data is clear that older, especially older than 70, multiple comorbid conditioins and smoking are critical problems. Although diabetic if it is controlled well it is likely your symptoms will be like most 38 year olds- mild.   Would you like to video or text chat with me?         "
"404","No. coronavirus is the name of a family of viruses, but each one can cause disease.coronavirus COVID-19 is one specific virus linked to the present pandemic, not a mixture of viruses."
"405","In brief:   Many possibilities   Seek care right away if difficulty breathing, other severe symptoms.  Seek testing if sick, PLUS known COVID-19 contact, or travel to high risk country, or been in facility treating people with Covid-19, or severe pneumonia of unknown cause.Call 0800 029 999 for test.If sick or possibly exposed (not both), stay home.Seek consultation if sick.If known exposure & not sick, self-isolate 14 days.  Would you like to video or text chat with me?         "
"406","Seek evaluation. Difficult to advise without more information, so seek evaluation by a doctor.  Because of covid, try to do that by phone/telemedicine.  However, seek in person care right away if breathing distress, or severe symptoms.Seek covid testing if known covid-19 contact, or travel to high risk country, or you’ve been in facility treating people with Covid-19, or if pneumonia.Call 0800 029 999 for test."
"407","In brief:   Think you ok    if a longterm thing sounds chronic not corona , only way to know is the test  Would you like to video or text chat with me?         "
"408","Hard to guess. You have some of the  symptoms of cold , flu and covid19 . Also you appear to be dehydrated. But you are young and no mention of any underlying medical condition. So, i  think you are not vulnerable.  Drink at least 6 cups of water a day. Probably need self isolation for 2 weeks and to be tested in mean time for covid19 if you develop breathing problem. Contact to your doctor for a guidance."
"409","Need more info! Difficult to advise without more information, so seek evaluation by a doctor.  Because of covid, try to do that by phone/telemedicine.  However, seek care right away if difficulty breathing, or severe symptoms.Seek covid testing if known COVID-19 contact, or travel to high risk country, or you’ve been in facility treating people with Covid-19, or if pneumonia.Call 0800 029 999 for test."
"410","Incubation period. Stay home, rest and drink fluids for at least three more days . You may have been exposed to the virus. If you develop symptoms of the flu, fever, dry cough and/or shortness of breath, please arrange testing and a call with your PCP."
"411","In brief:   Not really     keep immunity up, keep mental health strong, no specific meds at this point in time  Would you like to video or text chat with me?         "
"412","In brief:   Continue to    self isolate.   Get rest, drink lots of liquids, tylenol as needed, IF get severely sick seek care.  Would you like to video or text chat with me?         "
"413","In brief:   No   not yet, joint pain alone not an indication, but stay home   Would you like to video or text chat with me?        "
"414","Yes postpone . Yes. Definitely you can postpone the treatment by 2-4 weeks at least. ."
"415","In brief:   Yes and no.   Yes for the first question.   For the second question i should say no because the possibility of the store employee coming close less than 6 feet is great. But what you can do is you get out of the car open the truck and then call the store employee for a curb side pick up leaving always a 6 feet distance between two of you.  Would you like to video or text chat with me?         "
"416","Nearly. need an N95 mask, gloves and gown as well as eye protection if in contact with aerosol, if working with truely negative she is safe, but we need more testing and to keep mildly ill with corona away from every body else."
"417","In brief:   Fever/flu like sx   COVID-19 is typically associated with flu like symptoms, fever, dry cough and/or shortness of breath.   If your shortness of breath does not improve with Albuterol inhaler, please call your PCP right away. Stay home, rest, drink fluids, monitor your temperature and avoid environmental triggers such as smoke and dust.   Would you like to video or text chat with me?         "
"418","In brief:   High    diabetes -especially uncontrolled is a probem, if you are well controlled similar to rest of population, no one really spared so to speak, stay home, if you need to consult do so telephonically  Would you like to video or text chat with me?         "
"419","? test. Do you have access to testing? If so perhaps do a telephonic consult ? and get tested and self isolate ? Usually anosmia - loss of smell is an early warning sign but close contact to someone who is positive it's highly contagious."
"420","In brief:   Bloods do help    but only a corona virus test confirms - stay home or be tested safely, your problem sounds more chronic but hard to say  Would you like to video or text chat with me?         "
"421","Welldone. stay there if you feel it will help you can get a test but do so safely, else continue doing the right thing."
"422","In brief:   Possible   Top symptoms of COVID include fever, dry cough, SOB.   Sore throat is a symptom, but not as common. You are 36 and likelyhood of severe infection uncommon. Probably best to socially isolate. Other possibilities include strep, influenza or adenovirus. Follow these guidelines:  https://www.healthtap.com/blog/covid-19-care-guidelines/self-quarantine-guide  Would you like to video or text chat with me?         "
"423","Yes. yes."
"424","In brief:   Tesing   Follow the following guidelines: https://www.  healthtap.com/blog/covid-19-care-guidelines/self-quarantine-guide Call your local provider or Health department. At 36 you would be considered low risk for serious infection.  The test in itself does not lead to a specific action and the tests are numbered. So at this time the tests are limited and being used for sicker patients.   Would you like to video or text chat with me?         "
"425","Covid. Follow recommendations. Flu last year and Covid this year are two separate issues. At 33 your risk of sever infection is low. Follow the guidelines for COViD. The guidelines are as follows:https://www.healthtap.com/blog/covid-19-care-guidelines/self-quarantine-guide."
"426","Hard to get tested. Throat pain can be from a strep throat (antibiotics needed), a cold or influenza, or from some other cause such as allergies or irritants. Usually, a person sees the doctor (call first) if the sore throat is bothersome, recurrent, or doesn't go away quickly. COVID-19 infections tend to have cough, whereas strep usually lacks cough but has more throat pain. Can call "
"427","Maybe not all meds. COVID-19 pandemic at this time, so one's doctor may want to consult by video instead of requiring an in-person visit. Some medications are refillable by video, others are not. In this pandemic, one's primary care doctor, who knows the patient well, can usually get meds to the patient without an in-person visit... unless an exam is needed in order to adjust the meds. Just ask the doctor. (3/23/20)"
